ClassName, fwbr
com.itextpdf.text.ExceptionConverter, -0.7065822147411698
com.itextpdf.text.pdf.qrcode.Version, -5.98607786781364
com.itextpdf.text.pdf.LtvVerification$1, -0.7540801391382729
com.itextpdf.text.pdf.codec.wmf.MetaObject, 0.4298227109605415
com.itextpdf.text.pdf.codec.TiffWriter$FieldImage, -3.6771168026633485
com.itextpdf.text.pdf.parser.LocationTextExtractionStrategy, -6.915190895161005
com.itextpdf.text.pdf.fonts.FontsResourceAnchor, -0.6010926466820399
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing, -7.559398311907675
com.itextpdf.text.pdf.ArabicLigaturizer$charstruct, -0.6010926466820399
com.itextpdf.text.pdf.CMapAwareDocumentFont, -12.044765982633232
com.itextpdf.text.TextElementArray, -3.0789347956512
com.itextpdf.text.pdf.internal.PdfXConformanceImp, -12.037700733090732
com.itextpdf.text.pdf.IntHashtable$Entry, -0.10477070614665474
com.itextpdf.text.pdf.PdfEncodings$SymbolConversion, -4.206974069303451
com.itextpdf.text.pdf.ShadingColor, -5.09480972419664
com.itextpdf.text.pdf.qrcode.ByteMatrix, 0.11884645778405933
com.itextpdf.text.pdf.qrcode.BitArray, 0.2462707719455437
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$PushGraphicsState, -7.019041112293983
com.itextpdf.text.html.simpleparser.ImageStore, -1.3551727858203129
com.itextpdf.text.pdf.codec.TiffImage, -10.959699016877796
com.itextpdf.text.xml.xmp.XmpReader, -4.753982415827004
com.itextpdf.text.pdf.OcspClient, -0.4440192436043722
com.itextpdf.text.pdf.BarcodePostnet, -6.783545019576289
com.itextpdf.text.pdf.CFFFont$UInt16Item, -3.2469449388595195
com.itextpdf.text.pdf.PdfOCG, -4.318776621068297
com.itextpdf.text.exceptions.UnsupportedPdfException, -4.431196941801621
com.itextpdf.text.pdf.collection.PdfTargetDictionary, -6.895404738838211
com.itextpdf.text.html.simpleparser.ImageProvider, -5.713850347698026
com.itextpdf.text.pdf.PdfFileSpecification, -10.01194995913202
com.itextpdf.text.pdf.interfaces.PdfVersion, -3.8731892592676895
com.itextpdf.text.FontFactoryImp, -7.943634469241301
com.itextpdf.text.pdf.collection.PdfCollection, -7.886181037905841
com.itextpdf.text.pdf.parser.InlineImageInfo, -2.855317631720485
com.itextpdf.text.Section, -8.660075834855272
com.itextpdf.text.xml.xmp.XmpBasicSchema, -4.847783090383355
com.itextpdf.awt.geom.GeneralPath$Iterator, -6.185499035170598
com.itextpdf.text.pdf.parser.TextRenderInfo, -7.34122273271304
com.itextpdf.text.pdf.PdfLister, -8.824880172014637
com.itextpdf.text.pdf.CFFFont$UInt32Item, -3.2469449388595195
com.itextpdf.text.pdf.PdfSignatureAppearance$RangeStream, -3.289950036410306
com.itextpdf.awt.geom.Line2D$Double, -6.470608657658277
com.itextpdf.text.Annotation, -3.7546334751815036
com.itextpdf.text.html.HtmlTags, -0.6010926466820399
com.itextpdf.text.pdf.crypto.IVGenerator, -2.864246748990621
com.itextpdf.text.pdf.qrcode.MaskUtil, -3.7996050891028252
