ClassName, fwbr, fwbr_sub_type, fwbr_sub
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetRGBStroke, -7.5076694952035785, n, -7.479056616048942
com.itextpdf.text.pdf.codec.TiffWriter$FieldImage, -3.6771168026633485, n, -4.000236507286551
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing, -7.559398311907675, n, -7.431155267845372
com.itextpdf.text.pdf.internal.PdfXConformanceImp, -12.024766195603737, n, -11.398974246214175
com.itextpdf.text.pdf.languages.ArabicLigaturizer$charstruct, -0.6010926466820399, n, -0.5893628394357854
com.itextpdf.text.xml.xmp.XmpReader, -6.713845941609723, n, -5.563901300111047
com.itextpdf.text.xml.xmp.PdfProperties, -4.003535467092679, n, -4.001228711112933
com.itextpdf.text.pdf.BarcodePostnet, -6.783545019576289, n, -6.377496696951782
com.itextpdf.text.pdf.security.CRLVerifier, -9.143183095527304, n, -8.471388272548033
com.itextpdf.text.xml.xmp.XmpBasicProperties, -5.594436452702568, n, -5.454521688481525
com.itextpdf.text.exceptions.UnsupportedPdfException, -4.431196941801621, n, -5.187799840180956
com.itextpdf.text.pdf.collection.PdfTargetDictionary, -6.895404738838211, n, -7.276505324389312
com.itextpdf.text.html.simpleparser.ImageProvider, -5.713850347698026, n, -6.167201521167983
com.itextpdf.text.pdf.PdfFileSpecification, -10.231565431062197, n, -10.007343657504478
com.itextpdf.text.pdf.interfaces.PdfVersion, -3.8731892592676895, n, -4.121930468583158
com.itextpdf.text.pdf.collection.PdfCollection, -7.886181037905841, n, -8.25321329808753
com.itextpdf.text.pdf.parser.InlineImageInfo, -2.855317631720485, n, -2.9182110860685984
com.itextpdf.text.pdf.security.VerificationException, -1.8664511245377655, n, -1.910585397228525
com.itextpdf.text.pdf.parser.clipper.Clipper$Direction, -3.013351183452495, n, -3.1143723469109896
com.itextpdf.text.xml.xmp.XmpBasicSchema, -4.847783090383355, n, -5.335023770562209
com.itextpdf.text.pdf.parser.TextRenderInfo, -7.700573003363538, n, -7.063667300240672
com.itextpdf.text.Annotation, -3.7546334751815036, n, -3.518323366619842
com.itextpdf.text.html.HtmlTags, -0.6010926466820399, n, -0.5893628394357854
com.itextpdf.text.pdf.parser.clipper.Clipper, -6.6854139471333, n, -6.947199834156368
com.itextpdf.text.pdf.SequenceList, 0.045178677027858605, n, 0.8735712980942523
com.itextpdf.text.pdf.StampContent, -9.945906031981352, n, -10.186528903886428
com.itextpdf.text.pdf.PdfSignatureAppearance$1, -3.347453551783471, n, -3.202357093873432
com.itextpdf.text.pdf.codec.PngWriter, -1.678337589161264, n, -1.2089428925910637
com.itextpdf.text.io.TempFileCache$ObjectPosition, -3.2360081987288676, n, -3.3055564903118877
com.itextpdf.text.pdf.parser.clipper.Point$DoublePoint, -2.5213683619474874, n, -2.587302506978501
com.itextpdf.text.Anchor, -8.336585972459408, n, -8.48732744249743
com.itextpdf.text.pdf.security.XpathConstructor, -0.4440192436043722, n, -0.7348142194157781
com.itextpdf.text.pdf.PdfBody, -5.165853809576106, n, -5.540544497792322
com.itextpdf.text.pdf.codec.TiffWriter, -4.072360004330779, n, -3.320026933854058
com.itextpdf.text.pdf.PdfNumberTree, -9.130924686964624, n, -8.20927386456466
com.itextpdf.xmp.impl.XMPMetaParser, -8.768174898926242, n, -7.863408329176294
com.itextpdf.text.pdf.PdfLayerMembership, -9.040188888585252, n, -9.195100876592491
com.itextpdf.text.pdf.StringUtils, -4.0166026886703055, n, -3.7129344886664057
com.itextpdf.text.pdf.fonts.cmaps.AbstractCMap, -4.906881836423237, n, -5.444392726364869
com.itextpdf.text.pdf.security.CertificateInfo, -7.7700506184882485, n, -7.468209545302568
com.itextpdf.text.io.IndependentRandomAccessSource, -2.785388987947737, n, -2.5501704360103976
com.itextpdf.text.pdf.parser.XObjectDoHandler, -5.412365382600746, n, -5.7885709291872525
com.itextpdf.text.error_messages.MessageLocalization, -2.032215913253126, n, -1.2510570455884675
com.itextpdf.text.pdf.PdfDeveloperExtension, -6.629659939460183, n, -6.548076559313691
com.itextpdf.xmp.options.ParseOptions, -1.9676534389905425, n, -2.0877083429890844
com.itextpdf.text.pdf.PdfReaderInstance, -11.35103617222703, n, -10.315918247393569
com.itextpdf.text.pdf.PdfColor, -7.440291024808477, n, -7.45645115305491
com.itextpdf.text.pdf.BarcodeEANSUPP, -8.446352570277124, n, -7.924820167618744
com.itextpdf.text.pdf.PdfDictionary, -6.711729988271166, n, -8.10852773741831
