ClassName,layer
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetRGBStroke,14
com.itextpdf.text.pdf.codec.TiffWriter$FieldImage,2
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing,14
com.itextpdf.text.pdf.internal.PdfXConformanceImp,8
com.itextpdf.text.pdf.languages.ArabicLigaturizer$charstruct,8
com.itextpdf.text.xml.xmp.XmpReader,1
com.itextpdf.text.xml.xmp.PdfProperties,5
com.itextpdf.text.pdf.BarcodePostnet,10
com.itextpdf.text.pdf.security.CRLVerifier,5
com.itextpdf.text.exceptions.UnsupportedPdfException,1
com.itextpdf.text.xml.xmp.XmpBasicProperties,7
com.itextpdf.text.html.simpleparser.ImageProvider,9
com.itextpdf.text.pdf.collection.PdfTargetDictionary,8
com.itextpdf.text.pdf.PdfFileSpecification,8
com.itextpdf.text.pdf.interfaces.PdfVersion,8
com.itextpdf.text.pdf.collection.PdfCollection,8
com.itextpdf.text.pdf.parser.InlineImageInfo,9
com.itextpdf.text.pdf.security.VerificationException,0
com.itextpdf.text.xml.xmp.XmpBasicSchema,3
com.itextpdf.text.pdf.parser.TextRenderInfo,12
com.itextpdf.text.Annotation,8
com.itextpdf.text.html.HtmlTags,0
com.itextpdf.text.pdf.SequenceList,0
com.itextpdf.text.pdf.StampContent,8
com.itextpdf.text.pdf.PdfSignatureAppearance$1,8
com.itextpdf.text.pdf.codec.PngWriter,9
com.itextpdf.text.Anchor,8
com.itextpdf.text.pdf.security.XpathConstructor,0
com.itextpdf.text.pdf.codec.TiffWriter,2
com.itextpdf.text.pdf.PdfNumberTree,8
com.itextpdf.xmp.impl.XMPMetaParser,6
com.itextpdf.text.pdf.PdfLayerMembership,8
com.itextpdf.text.pdf.fonts.cmaps.AbstractCMap,8
com.itextpdf.text.pdf.security.CertificateInfo,3
com.itextpdf.text.io.IndependentRandomAccessSource,1
com.itextpdf.text.pdf.parser.XObjectDoHandler,14
com.itextpdf.text.error_messages.MessageLocalization,2
